no,year,journal,title,doi,pmid,pmcid,isOpenAccess,doi_url
1,2026,Scientific reports,Development and validation of interpretable machine learning models to predict 30-day mortality in patients with intracerebral hemorrhage.,10.1038/s41598-026-61923-7,42437785,,N,https://doi.org/10.1038/s41598-026-61923-7
2,2026,Scandinavian journal of gastroenterology,A machine learning model for predicting 28-day mortality in patients with alcoholic cirrhosis and sepsis: a study based on the MIMIC-IV database.,10.1080/00365521.2026.2625822,41649129,,N,https://doi.org/10.1080/00365521.2026.2625822
3,2026,Respiratory research,Interpretable machine learning for predicting in-hospital mortality in COPD ICU patients: a rigorous validation across time and geography.,10.1186/s12931-026-03702-6,42121158,,N,https://doi.org/10.1186/s12931-026-03702-6
4,2026,Lipids in health and disease,Development and validation of continuous cardiovascular-kidney-metabolic syndrome severity score (cCKMS-S) complementing CKM staging.,10.1186/s12944-026-02990-7,42298605,,N,https://doi.org/10.1186/s12944-026-02990-7
5,2026,Journal of intensive care medicine,Development and Temporal External Validation of a 6-Hour Lactate Clearance-PaO&lt;sub&gt;2&lt;/sub&gt;/FiO&lt;sub&gt;2&lt;/sub&gt; Model for Predicting 28-Day Mortality in Sepsis-Associated ARDS.,10.1177/08850666261466237,42434889,,N,https://doi.org/10.1177/08850666261466237
6,2026,Journal of health psychology,Development and temporal validation of a probable depression risk prediction model for US adults with questionnaire-ascertained probable obstructive sleep apnea.,10.1177/13591053261465387,42473119,,N,https://doi.org/10.1177/13591053261465387
7,2026,Journal of dental research,Interpretable Machine Learning for Population-Level Tooth Loss Prediction.,10.1177/00220345261464887,42530935,,N,https://doi.org/10.1177/00220345261464887
8,2026,Journal of clinical medicine,Forecasting ICU Acute Kidney Injury with Actionable Lead Time Using Interpretable Machine Learning: Development and Multi-Center Validation.,10.3390/jcm15031191,41682874,PMC12898506,Y,https://doi.org/10.3390/jcm15031191
9,2026,Journal of clinical medicine,Development and External Validation of an Interpretable Machine Learning Framework for Predicting Pneumothorax-Associated Acute Kidney Injury: A Multicenter Retrospective Study.,10.3390/jcm15145599,42513513,,N,https://doi.org/10.3390/jcm15145599
10,2026,Intensive & critical care nursing,Dynamic trajectories of organ dysfunction in sepsis using the SOFA-2 score and early prediction from multicenter cohorts.,10.1016/j.iccn.2026.104413,41936250,,N,https://doi.org/10.1016/j.iccn.2026.104413
11,2026,Indian journal of pediatrics,A Simple Clinical Prediction Model for Metabolic Dysfunction-Associated Steatotic Liver Disease in Adolescents with Obesity.,10.1007/s12098-026-06301-x,42417925,,N,https://doi.org/10.1007/s12098-026-06301-x
12,2026,"Heart, lung & circulation",Interpretable Machine Learning Models for Mortality Prediction in Critically Ill Patients with Intra-Aortic Balloon Pump Therapy: Development and Evaluation.,10.1016/j.hlc.2026.03.061,42562666,,N,https://doi.org/10.1016/j.hlc.2026.03.061
13,2026,"Healthcare (Basel, Switzerland)",Machine Learning Prediction of ICU Mortality and Length of Stay in Atrial Fibrillation: A MIMIC-IV/MIMIC-III Study.,10.3390/healthcare14030356,41682206,PMC12897186,Y,https://doi.org/10.3390/healthcare14030356
14,2026,Frontiers in medicine,Development and validation of a prediction model for in-hospital mortality in intensive care unit patients with cirrhosis and sepsis: a multicentre retrospective cohort study.,10.3389/fmed.2026.1759988,41737385,PMC12926366,Y,https://doi.org/10.3389/fmed.2026.1759988
15,2026,Frontiers in cardiovascular medicine,Identification of cardiovascular disease in patients with kidney stone disease using explainable machine learning.,10.3389/fcvm.2026.1696079,42291556,PMC13260074,Y,https://doi.org/10.3389/fcvm.2026.1696079
16,2026,Frontiers in big data,A prognostic tool for pulmonary collapse: nomogram-based prediction of 28-day mortality.,10.3389/fdata.2026.1728498,42494925,,N,https://doi.org/10.3389/fdata.2026.1728498
17,2026,Clinical rheumatology,Association between systemic inflammatory response index and cardiovascular disease risk in rheumatoid arthritis patients: a machine learning based on US and Chinese cohorts.,10.1007/s10067-025-07915-w,41505070,PMC12858464,Y,https://doi.org/10.1007/s10067-025-07915-w
18,2026,BMC medical informatics and decision making,Development and external validation of the HCH and HPMS prognostic indices for sepsis: a retrospective model development study using a Multi-Objective Non-Newtonian Fluid optimization algorithm.,10.1186/s12911-026-03609-8,42231280,,N,https://doi.org/10.1186/s12911-026-03609-8
19,2025,PloS one,Development and validation of a bedside-available machine learning model to predict discrepancies between SaO₂ and SpO₂: Exploring factors related to the discrepancies.,10.1371/journal.pone.0334350,41118380,PMC12539712,Y,https://doi.org/10.1371/journal.pone.0334350
20,2025,Journal of medical Internet research,A Supervised Explainable Machine Learning Model for Perioperative Neurocognitive Disorder in Liver-Transplantation Patients and External Validation on the Medical Information Mart for Intensive Care IV Database: Retrospective Study.,10.2196/55046,39813086,PMC11780294,Y,https://doi.org/10.2196/55046
21,2025,Frontiers in medicine,Predicting in-hospital mortality in patients with alcoholic cirrhosis complicated by severe acute kidney injury: development and validation of an explainable machine learning model.,10.3389/fmed.2025.1570928,40406405,PMC12095237,Y,https://doi.org/10.3389/fmed.2025.1570928
22,2025,European journal of medical research,Unsupervised clustering based on a graph attention network reveals high-risk subgroups among ICU dementia patients for enhanced mortality prediction.,10.1186/s40001-025-03336-2,41214806,PMC12604419,Y,https://doi.org/10.1186/s40001-025-03336-2
23,2025,BMC infectious diseases,Revolutionizing sepsis diagnosis using machine learning and deep learning models: a systematic literature review.,10.1186/s12879-025-11423-2,41131449,PMC12548141,Y,https://doi.org/10.1186/s12879-025-11423-2
